shop,total,{ role: 'style' }
롯데닷컴,86.53,color:green
CJmall,86.5,color:green
NS Mall,86.24,color:green
롯데i몰,85.93,color:green
현대Hmall,85.48,color:green
YTmall,85.43,color:green
GS SHOP,85.33,color:green
AK몰,85.33,color:green
이데이몰,85.31,color:green
이마트몰,84.78,color:green
디앤샵,84.32,color:green
홈앤쇼핑,83.97,color:green
2001아울렛 쇼핑몰,83.92,color:green
롯데마트몰,83.76,color:green
엘롯데,83.71,color:green
우체국쇼핑,83.47,color:green
Be해피샵,83.46,color:green
신세계몰,82.64,color:green
홈플러스 쇼핑몰,82.44,color:green
여인닷컴,82.39,color:green
프라이스클럽,81.69,color:green
메가마트 쇼핑몰,80.69,color:green
NH마켓,78.15,color:green
킥스토어,76.74,color:green
지인샵,72.27,color:#FF0000
인터파크,85.34,color:green
옥션,84.26,color:green
11번가,83.76,color:green
G마켓,82.94,color:green
위즈위드,83.61,color:green
품바이,79.25,color:green
아이포터,78.23,color:green
엔조이뉴욕,76.77,color:green
헤이아메리카,69.28,color:#FF0000
아싸컴,84.32,color:green
아이코다,82.47,color:green
오마이피씨,81.49,color:green
컴퓨존,80.06,color:green
왕가컴퓨터,79.6,color:green
미아마스빈,85.54,color:green
토모나리,85.18,color:green
패션플러스,84.97,color:green
조아맘,84.81,color:green
LFmall,84.69,color:green
아이스타일24,84.5,color:green
보리보리,84.21,color:green
하프클럽,84.2,color:green
다홍,84.03,color:green
파티수,83.85,color:green
오가게,83.48,color:green
하나언니,83.29,color:green
립합,83.28,color:green
임블리,83.22,color:green
다크빅토리,83.17,color:green
스타일난다,83.08,color:green
11am,82.98,color:green
프롬비기닝,82.76,color:green
멋남,82.57,color:green
콩스타일,82.53,color:green
쏭바이쏭,81.48,color:green
리본타이,81.02,color:green
데일리먼데이,80.8,color:green
난닝구,80.38,color:green
츄,79.89,color:green
다바걸,79.86,color:green
모코블링,79.06,color:green
레미떼,78.54,color:green
한경희생활과학,84.25,color:green
하이마트,84.14,color:green
리홈샵,83.73,color:green
전자랜드,83.49,color:green
쿠쿠몰,74.02,color:#FF0000
리스킨,85.43,color:green
sonatural,83.61,color:green
아모레퍼시픽 쇼핑몰,83.46,color:green
토니모리쇼핑몰,82.12,color:green
이지함 화장품,82.01,color:green
예스24,85.21,color:green
반디앤루니스,84.64,color:green
교보문고,84.57,color:green
영풍문고,84.46,color:green
알라딘,83.63,color:green
CJONmart,86.72,color:green
정원e샵,85.74,color:green
오뚜기몰,85.16,color:green
풀무원이샵,85.07,color:green
동원몰,83.57,color:green
쿠팡,83.77,color:green
티몬,83.7,color:green
위메프,82.27,color:green
맘스투데이,76.6,color:green
원데이맘,72.02,color:#FF0000
하나투어,86.45,color:green
모두투어,84.98,color:green
온라인투어,83.52,color:green
웹투어,82.59,color:green
노랑풍선,82.33,color:green
티켓링크,82.15,color:green
맥스무비,81.55,color:green
클립서비스,77.88,color:green
